mass	mf
139.00344	C2H6NO4P
139.02694	C6H5NO3
139.03031	C3H9NO3S
139.03818	C5H5N3O2
139.03983	C3H10NO3P
139.06333	C7H9NO2
139.07456	C6H9N3O
139.09971	C8H13NO
139.13609	C9H17N
139.97795	C2H4O5S
139.98746	C2H5O5P
140.00289	C7H5ClO
140.01096	C6H4O4
140.02384	C3H9O4P
140.02736	C7H5FO2
140.04024	C4H10FO2P
140.04734	C7H8O3
140.05857	C6H8N2O2
140.06374	C8H9FO
140.08373	C8H12O2
140.10619	C6H12N4
140.12011	C9H16O
140.98271	CH4NO5P
141.00621	C5H3NO4
141.01909	C2H8NO4P
141.04259	C6H7NO3
141.05382	C5H7N3O2
141.06122	C7H11NS
141.07897	C7H11NO2
141.09021	C6H11N3O
141.11536	C8H15NO
141.15174	C9H19N
141.92795	CH3I
141.97584	C2H6O3S2
141.98535	C2H7O3PS
141.99522	C4H8Cl2O
142.00146	C4H2N2O4
142.00885	C6H6O2S
142.01854	C7H7ClO
142.02008	C5H6N2OS
142.02661	C6H6O4
142.02977	C6H7ClN2
142.03784	C5H6N2O3
142.04186	C10H6O
142.04907	C4H6N4O2
142.06299	C7H10O3
142.07422	C6H10N2O2
142.09937	C8H14O2
142.13576	C9H18O
143.01941	C3H4F3NO2
143.04048	C6H9NOS
143.04432	C3H5N5O2
143.05824	C6H9NO3
143.0735	C10H9N
143.09462	C7H13NO2
143.13101	C8H17NO
143.14224	C7H17N3
143.97431	C2H6ClO3P
143.99781	C6H5ClO2
144.03419	C7H9ClO
144.03867	C7H6F2O
144.04226	C6H8O4
144.05751	C10H8O
144.06088	C7H12OS
144.06874	C9H8N2
144.07864	C7H12O3
144.08987	C6H12N2O2
144.10111	C5H12N4O
144.11502	C8H16O2
144.12626	C7H16N2O
144.15141	C9H20O
144.16264	C8H20N2
144.99306	C5H4ClNO2
145.01552	C3H4ClN5
145.01975	C5H7NO2S
145.03751	C5H7NO4
145.05276	C9H7NO
145.07389	C6H11NO3
145.08512	C5H11N3O2
145.11027	C7H15NO2
145.12151	C6H15N3O
145.14666	C8H19NO
145.15789	C7H19N3
145.9093	C2HCl3O
145.94568	C3H5Cl3
145.9534	H4O5P2
145.969	C6H4Cl2
145.97861	C3H2N2O3S
145.99954	C3H3ClN4O
146.01346	C6H7ClO2
146.015	C4H6N2O2S
146.02152	C5H6O5
146.02239	C6H10S2
146.03276	C4H6N2O4
146.03678	C9H6O2
146.04015	C6H10O2S
146.04801	C8H6N2O
146.05791	C6H10O4
146.06914	C5H10N2O3
146.08439	C9H10N2
146.09429	C7H14O3
146.10552	C6H14N2O2
146.13067	C8H18O2
146.15314	C6H18N4
146.98355	C3H2ClN3O2
147.03203	C8H5NO2
147.0354	C5H9NO2S
147.03924	C2H5N5O3
147.05316	C5H9NO4
147.06439	C4H9N3O3
147.06841	C9H9NO
147.08954	C6H13NO3
147.10479	C10H13N
147.90496	C2Cl3F
147.92495	C2H3Cl3O
147.98465	C6H6Cl2
147.99272	C5H5ClO3
148.00079	C4H4O6
148.01941	C5H8O3S
148.03717	C5H8O5
148.0484	C4H8N2O4
148.05243	C9H8O2
148.06366	C8H8N2O
148.07356	C6H12O4
148.08881	C10H12O
148.10004	C9H12N2
148.10994	C7H16O3
149.02435	C5H8ClNO2
149.02992	C8H7NS
149.03242	C4H7NO5
149.03329	C5H11NS2
149.04365	C3H7N3O4
149.04768	C8H7NO2
149.05105	C5H11NO2S
149.05891	C7H7N3O
149.06074	C6H12ClNO
149.0688	C5H11NO4
149.07014	C6H7N5
149.08406	C9H11NO
149.0852	C6H12FNO2
149.10519	C6H15NO3
149.12044	C10H15N
149.88646	CHCl3S
149.96802	C4H7BrO
149.98092	C4H6O2S2
149.99868	C4H6O4S
150.01644	C4H6O6
150.01778	C5H2N4O2
150.03169	C8H6O3
150.05282	C5H10O5
150.05369	C6H14S2
150.05416	C6H6N4O
150.06808	C9H10O2
150.07931	C8H10N2O
150.08521	C8H11BO2
150.0892	C6H14O4
150.10446	C10H14O
151.01887	C8H6ClN
151.02694	C7H5NO3
151.04155	C3H9N3O2S
151.04941	C5H5N5O
151.06333	C8H9NO2
151.08579	C6H9N5
151.09971	C9H13NO
151.13609	C10H17N
151.97795	C3H4O5S
151.98527	C3H8N2Se
151.98746	C3H5O5P
151.98764	C4H5ClO4
151.99657	C4H8O2S2
152.01567	C5H4N4S
152.03342	C5H4N4O2
152.04082	C7H8N2S
152.04419	C4H12N2S2
152.04466	C4H4N6O
152.04734	C8H8O3
152.05857	C7H8N2O2
152.06847	C5H12O5
152.08373	C9H12O2
152.09496	C8H12N2O
152.12011	C10H16O
152.99182	C3H7NO2S2
153.00958	C3H7NO4S
153.02483	C7H7NOS
153.02867	C4H3N5O2
153.04259	C7H7NO3
153.05548	C4H12NO3P
153.06506	C5H7N5O
153.07897	C8H11NO2
153.09021	C7H11N3O
153.10144	C6H11N5
153.11536	C9H15NO
153.9533	C3H6O2Se
154.00311	C3H7O5P
154.00885	C7H6O2S
154.01222	C4H10O2S2
154.01854	C8H7ClO
154.02661	C7H6O4
154.02998	C4H10O4S
154.03784	C6H6N2O3
154.03949	C4H11O4P
154.06299	C8H10O3
154.07422	C7H10N2O2
154.07825	C12H10
154.09937	C9H14O2
154.11061	C8H14N2O
154.12184	C7H14N4
154.13576	C10H18O
154.99836	C2H6NO5P
155.01379	C7H6ClNO
155.02186	C6H5NO4
155.02685	C5H11Cl2N
155.03474	C3H10NO4P
155.05824	C7H9NO3
155.06947	C6H9N3O2
155.08071	C5H9N5O
155.09462	C8H13NO2
155.13101	C9H17NO
155.16739	C10H21N
155.9436	C2H5I
155.95746	C6H5Br
155.98238	C2H5O6P
155.99149	C3H8O3S2
155.99781	C7H5ClO2
156.00587	C6H4O5
156.01711	C5H4N2O4
156.01876	C3H9O5P
156.0245	C7H8O2S
156.03419	C8H9ClO
156.03573	C6H8N2OS
156.04226	C7H8O4
156.05349	C6H8N2O3
156.05751	C11H8O
156.06472	C5H8N4O2
156.06874	C10H8N2
156.07864	C8H12O3
156.0939	C12H12
156.11502	C9H16O2
156.15141	C10H20O
156.99306	C6H4ClNO2
156.99625	C2H8NO3PS
157.01236	C4H3N3O4
157.03751	C6H7NO4
157.05276	C10H7NO
157.07389	C7H11NO3
157.11027	C8H15NO2
157.13274	C6H15N5
157.14666	C9H19NO
157.99803	C2H7O6P
158.00376	C6H6O3S
158.01328	C6H7O3P
158.01346	C7H7ClO2
